Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,TBD_Flag,Outlier_Flag,User_Score_Norm,Critic_User_Diff,Percentage_of_Releases,Mean_UserCritic_Score
Wii Sports,Wii,2006.0,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8.0,322.0,Nintendo,E,False,True,80.0,-4.0,19.064124783362217,78.0
Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0,Nintendo,E,False,True,83.0,-1.0,25.748502994011975,82.5
Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8.0,192.0,Nintendo,E,False,True,80.0,0.0,25.290023201856147,80.0
Wii Play,Wii,2006.0,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,Nintendo,E,False,True,66.0,-8.0,19.064124783362217,62.0
New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0,Nintendo,E,False,True,84.0,3.0,25.290023201856147,85.5
Wii Fit,Wii,2007.0,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,Nintendo,E,False,True,77.0,3.0,26.392961876832842,78.5
Kinect Adventures!,Xbox 360,2010.0,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,Good Science Studio,E,False,True,63.0,-2.0,25.537634408602152,62.0
Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,Nintendo,E,False,True,74.0,6.0,25.290023201856147,77.0
Grand Theft Auto V,Playstation 3,2013.0,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,Rockstar North,M,False,True,82.0,15.0,28.353658536585364,89.5
Grand Theft Auto: San Andreas,Playstation 2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1588.0,Rockstar North,M,False,True,90.0,5.0,18.0327868852459,92.5
Grand Theft Auto V,Xbox 360,2013.0,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,Rockstar North,M,False,True,81.0,16.0,28.353658536585364,89.0
